ID_Transakcji,Data,Kategoria,Produkt,Cena_Jednostkowa,Liczba_Sztuk,Wartosc_Zamowienia,Koszt_Dostawy,Calkowita_Wartosc,Region
T20241104-000,2024-11-04,Zabawki,Puzzle 1000el. WorldMap,72.3,2,144.6,12.0,156.6,Północny
T20240601-000,2024-06-01,Odzież,Kurtka zimowa męska Alpine,378.4,2,756.8,20.0,776.8,Centralny
T20240428-000,2024-04-28,Elektronika,Laptop ProBook Air,4036.5,1,4036.5,40.0,4076.5,Centralny
T20241209-000,2024-12-09,Odzież,Sukienka letnia Sunshine,160.2,2,320.4,12.0,332.4,Wschodni
T20240702-000,2024-07-02,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Północny
T20240910-000,2024-09-10,Elektronika,Smartwatch FitPro,703.0,2,1406.0,20.0,1426.0,Centralny
T20240816-000,2024-08-16,Odzież,Sukienka letnia Sunshine,160.2,2,320.4,12.0,332.4,Centralny
T20240403-000,2024-04-03,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Południowy
T20240516-000,2024-05-16,Zabawki,Lalka interaktywna TalkingFriend,153.6,4,614.4,12.0,626.4,Wschodni
T20241213-000,2024-12-13,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Północny
T20241210-000,2024-12-10,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Wschodni
T20240529-000,2024-05-29,Zabawki,Klocki konstrukcyjne BlockWorld,196.2,1,196.2,20.0,216.2,Południowy
T20240503-000,2024-05-03,Odzież,Spodnie jeansowe ClassicBlue,172.2,3,516.6,12.0,528.6,Wschodni
T20240217-000,2024-02-17,Artykuły sportowe,Hantle 5kg zestaw,146.0,4,584.0,20.0,604.0,Zachodni
T20240425-000,2024-04-25,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Wschodni
T20241126-000,2024-11-26,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Zachodni
T20240318-000,2024-03-18,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Wschodni
T20240204-000,2024-02-04,Elektronika,Laptop ProBook Air,4036.5,1,4036.5,40.0,4076.5,Zachodni
T20240613-000,2024-06-13,Dom i ogród,Komplet pościeli Dream,192.15,2,384.3,12.0,396.3,Wschodni
T20240103-000,2024-01-03,Dom i ogród,Komplet pościeli Dream,192.15,1,192.15,12.0,204.15,Centralny
T20240530-000,2024-05-30,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Centralny
T20240310-000,2024-03-10,Dom i ogród,Lampa stojąca Modern,237.8,4,951.2,20.0,971.2,Południowy
T20240831-000,2024-08-31,Artykuły sportowe,Hantle 5kg zestaw,146.0,2,292.0,20.0,312.0,Centralny
T20240604-000,2024-06-04,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,2,615.6,12.0,627.6,Centralny
T20241213-001,2024-12-13,Książki,Kryminał 'Ciemna Noc',39.92,3,119.76,8.0,127.76,Południowy
T20240712-000,2024-07-12,Odzież,T-shirt BasicColor,70.75,1,70.75,12.0,82.75,Południowy
T20240401-000,2024-04-01,Odzież,Sukienka letnia Sunshine,160.2,1,160.2,12.0,172.2,Południowy
T20240603-000,2024-06-03,Odzież,T-shirt BasicColor,70.75,2,141.5,12.0,153.5,Centralny
T20240619-000,2024-06-19,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Zachodni
T20240216-000,2024-02-16,Elektronika,Smartfon Galaxy X20,2228.0,1,2228.0,40.0,2268.0,Południowy
T20240312-000,2024-03-12,Książki,Atlas Świata 2024,97.1,3,291.3,8.0,299.3,Zachodni
T20240713-000,2024-07-13,Odzież,T-shirt BasicColor,70.75,1,70.75,12.0,82.75,Północny
T20240706-000,2024-07-06,Dom i ogród,Narzędzia ogrodnicze Garden+,180.1,1,180.1,12.0,192.1,Północny
T20240108-000,2024-01-08,Elektronika,Smartwatch FitPro,703.0,3,2109.0,20.0,2129.0,Centralny
T20240408-000,2024-04-08,Książki,Poradnik 'Skuteczny Excel',63.02,1,63.02,8.0,71.02,Północny
T20240808-000,2024-08-08,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,3,3409.2,40.0,3449.2,Południowy
T20240101-000,2024-01-01,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Zachodni
T20240511-000,2024-05-11,Książki,Książka kucharska 'Smaki Azji',70.92,2,141.84,8.0,149.84,Centralny
T20240112-000,2024-01-12,Zabawki,Auto zdalnie sterowane RacerX,218.4,1,218.4,20.0,238.4,Zachodni
T20240724-000,2024-07-24,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Zachodni
T20240628-000,2024-06-28,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Wschodni
T20240328-000,2024-03-28,Zabawki,Lalka interaktywna TalkingFriend,153.6,1,153.6,12.0,165.6,Zachodni
T20240816-001,2024-08-16,Zabawki,Lalka interaktywna TalkingFriend,153.6,2,307.2,12.0,319.2,Zachodni
T20240903-000,2024-09-03,Artykuły sportowe,Kijki trekkingowe Hike,130.8,2,261.6,12.0,273.6,Centralny
T20241215-000,2024-12-15,Artykuły sportowe,Rower górski XTerra,1763.0,1,1763.0,40.0,1803.0,Wschodni
T20240813-000,2024-08-13,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Północny
T20240901-000,2024-09-01,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,2,615.6,12.0,627.6,Południowy
T20240515-000,2024-05-15,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Zachodni
T20240322-000,2024-03-22,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Zachodni
T20240429-000,2024-04-29,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Południowy
T20241212-000,2024-12-12,Odzież,Buty sportowe RunFast,284.0,1,284.0,20.0,304.0,Zachodni
T20240726-000,2024-07-26,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,1,1136.4,40.0,1176.4,Zachodni
T20240827-000,2024-08-27,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Południowy
T20240617-000,2024-06-17,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Południowy
T20241127-000,2024-11-27,Książki,Atlas Świata 2024,97.1,1,97.1,8.0,105.1,Wschodni
T20241020-000,2024-10-20,Książki,Atlas Świata 2024,97.1,2,194.2,8.0,202.2,Południowy
T20241202-000,2024-12-02,Artykuły sportowe,Mata do jogi Comfort,87.4,5,437.0,12.0,449.0,Zachodni
T20240620-000,2024-06-20,Artykuły sportowe,Mata do jogi Comfort,87.4,1,87.4,12.0,99.4,Zachodni
T20240611-000,2024-06-11,Artykuły sportowe,Hantle 5kg zestaw,146.0,2,292.0,20.0,312.0,Centralny
T20240302-000,2024-03-02,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,3,923.4,12.0,935.4,Zachodni
T20240910-001,2024-09-10,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Południowy
T20240906-000,2024-09-06,Artykuły sportowe,Hantle 5kg zestaw,146.0,1,146.0,20.0,166.0,Wschodni
T20240913-000,2024-09-13,Zabawki,Auto zdalnie sterowane RacerX,218.4,2,436.8,20.0,456.8,Centralny
T20240509-000,2024-05-09,Elektronika,Tablet MediaPad 10,1392.0,2,2784.0,40.0,2824.0,Wschodni
T20240705-000,2024-07-05,Artykuły sportowe,Kijki trekkingowe Hike,130.8,1,130.8,12.0,142.8,Północny
T20240908-000,2024-09-08,Zabawki,Puzzle 1000el. WorldMap,72.3,1,72.3,12.0,84.3,Zachodni
T20240711-000,2024-07-11,Odzież,Buty sportowe RunFast,284.0,2,568.0,20.0,588.0,Zachodni
T20240909-000,2024-09-09,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Północny
T20241121-000,2024-11-21,Odzież,Sukienka letnia Sunshine,160.2,2,320.4,12.0,332.4,Południowy
T20241125-000,2024-11-25,Elektronika,Smartwatch FitPro,703.0,1,703.0,20.0,723.0,Wschodni
T20241013-000,2024-10-13,Odzież,Kurtka zimowa męska Alpine,378.4,1,378.4,20.0,398.4,Południowy
T20240723-000,2024-07-23,Książki,Książka kucharska 'Smaki Azji',70.92,1,70.92,8.0,78.92,Wschodni
T20241102-000,2024-11-02,Dom i ogród,Zestaw mebli ogrodowych Relax,1136.4,1,1136.4,40.0,1176.4,Południowy
T20240717-000,2024-07-17,Artykuły sportowe,Mata do jogi Comfort,87.4,3,262.2,12.0,274.2,Zachodni
T20240423-000,2024-04-23,Dom i ogród,Komplet pościeli Dream,192.15,1,192.15,12.0,204.15,Zachodni
T20241113-000,2024-11-13,Elektronika,Słuchawki Bezprzewodowe SoundMax,307.8,1,307.8,12.0,319.8,Wschodni
